,average CF
b'20070118190000',0
b'20070118200000',0
b'20070118210000',0
b'20070118220000',0
b'20070118230000',0
b'20070119000000',0
b'20070119010000',0
b'20070119020000',0
b'20070119030000',0
b'20070119040000',0
b'20070119050000',0
b'20070119060000',0
b'20070119070000',0
b'20070119080000',0
b'20070119090000',0
b'20070119100000',0
b'20070119110000',0
b'20070119120000',0
b'20070119130000',0
b'20070119140000',0
b'20070119150000',0
b'20070119160000',0
b'20070119170000',0
b'20070119180000',0
b'20070119190000',0
b'20070119200000',0
b'20070119210000',0
b'20070119220000',0
b'20070119230000',0
b'20070120000000',0
b'20070120010000',0
b'20070120020000',0
b'20070120030000',0
b'20070120040000',0
b'20070120050000',0
b'20070120060000',0
b'20070120070000',0
b'20070120080000',0
b'20070120090000',0
b'20070120100000',0
b'20070120110000',0
b'20070120120000',0
b'20070120130000',0
b'20070120140000',0
b'20070120150000',0
b'20070120160000',0
b'20070120170000',0
b'20070120180000',0
b'20070120190000',0
b'20070120200000',0
b'20070120210000',0
b'20070120220000',0
b'20070120230000',0
b'20070121000000',0
b'20070121010000',0
b'20070121020000',0
b'20070121030000',0
b'20070121040000',0
b'20070121050000',0
b'20070121060000',0
b'20070121070000',0
b'20070121080000',0
b'20070121090000',0
b'20070121100000',0
b'20070121110000',0
b'20070121120000',0
b'20070121130000',0
b'20070121140000',0
b'20070121150000',0
b'20070121160000',0
b'20070121170000',0
b'20070121180000',0
b'20070121190000',0
b'20070121200000',0
b'20070121210000',0
b'20070121220000',0
b'20070121230000',0
b'20070122000000',0
b'20070122010000',0
b'20070122020000',0
b'20070122030000',0
b'20070122040000',0
b'20070122050000',0
b'20070122060000',0
b'20070122070000',0
b'20070122080000',0
b'20070122090000',0
b'20070122100000',0
b'20070122110000',0
b'20070122120000',0
b'20070122130000',0
b'20070122140000',0
b'20070122150000',0
b'20070122160000',0
b'20070122170000',0
b'20070122180000',0
b'20070122190000',0
b'20070122200000',0
b'20070122210000',0
b'20070122220000',0
b'20070122230000',0
b'20070123000000',0
b'20070123010000',0
b'20070123020000',0
b'20070123030000',0
b'20070123040000',0
b'20070123050000',0
b'20070123060000',0
b'20070123070000',0
b'20070123080000',0
b'20070123090000',0
b'20070123100000',0
b'20070123110000',0
b'20070123120000',0
b'20070123130000',0
b'20070123140000',0
b'20070123150000',0
b'20070123160000',0
b'20070123170000',0
b'20070123180000',0
b'20070123190000',0
b'20070123200000',0
b'20070123210000',0
b'20070123220000',0
b'20070123230000',0
b'20070124000000',0
b'20070124010000',0
b'20070124020000',0
b'20070124030000',0
b'20070124040000',0
b'20070124050000',0
b'20070124060000',0
b'20070124070000',0
b'20070124080000',0
b'20070124090000',0
b'20070124100000',0
b'20070124110000',0
b'20070124120000',0
b'20070124130000',0
b'20070124140000',0
b'20070124150000',0
b'20070124160000',0
b'20070124170000',0
b'20070124180000',0
b'20070124190000',0
b'20070124200000',0
b'20070124210000',0
b'20070124220000',0
b'20070124230000',0
b'20070125000000',0
b'20070125010000',0
b'20070125020000',0
b'20070125030000',0
b'20070125040000',0
b'20070125050000',0
b'20070125060000',0
b'20070125070000',0
b'20070125080000',0
b'20070125090000',0
b'20070125100000',0
b'20070125110000',0
b'20070125120000',0
b'20070125130000',0
b'20070125140000',0
b'20070125150000',0
b'20070125160000',0
b'20070125170000',0
b'20070125180000',0
b'20070125190000',0
b'20070125200000',0
b'20070125210000',0
b'20070125220000',0
b'20070125230000',0
b'20070126000000',0
b'20070126010000',0
b'20070126020000',0
b'20070126030000',0
b'20070126040000',0
b'20070126050000',0
b'20070126060000',0
b'20070126070000',0
b'20070126080000',0
b'20070126090000',0
b'20070126100000',0
b'20070126110000',0
b'20070126120000',0
b'20070126130000',0
b'20070126140000',0
b'20070126150000',0
b'20070126160000',0
b'20070126170000',0
b'20070126180000',0
b'20070126190000',0
b'20070126200000',0
b'20070126210000',0
b'20070126220000',0
b'20070126230000',0
b'20070127000000',0
b'20070127010000',0
b'20070127020000',0
b'20070127030000',0
b'20070127040000',0
b'20070127050000',0
b'20070127060000',0
b'20070127070000',0
b'20070127080000',0
b'20070127090000',0
b'20070127100000',0
b'20070127110000',0
b'20070127120000',0
b'20070127130000',0
b'20070127140000',0
b'20070127150000',0
b'20070127160000',0
b'20070127170000',0
b'20070127180000',0
b'20070127190000',0
b'20070127200000',0
b'20070127210000',0
b'20070127220000',0
b'20070127230000',0
b'20070128000000',0
b'20070128010000',0
b'20070128020000',0
b'20070128030000',0
b'20070128040000',0
b'20070128050000',0
b'20070128060000',0
b'20070128070000',0
b'20070128080000',0
b'20070128090000',0
b'20070128100000',0
b'20070128110000',0
b'20070128120000',0
b'20070128130000',0
b'20070128140000',0
b'20070128150000',0
b'20070128160000',0
b'20070128170000',0
b'20070128180000',0
b'20070128190000',0
b'20070128200000',0
b'20070128210000',0
b'20070128220000',0
b'20070128230000',0
b'20070129000000',0
b'20070129010000',0
b'20070129020000',0
b'20070129030000',0
b'20070129040000',0
b'20070129050000',0
b'20070129060000',0
b'20070129070000',0
b'20070129080000',0
b'20070129090000',0
b'20070129100000',0
b'20070129110000',0
b'20070129120000',0
b'20070129130000',0
b'20070129140000',0
b'20070129150000',0
b'20070129160000',0
b'20070129170000',0
b'20070129180000',0
b'20070129190000',0
b'20070129200000',0
b'20070129210000',0
b'20070129220000',0
b'20070129230000',0
b'20070130000000',0
b'20070130010000',0
b'20070130020000',0
b'20070130030000',0
b'20070130040000',0
b'20070130050000',0
b'20070130060000',0
b'20070130070000',0
b'20070130080000',0
b'20070130090000',0
b'20070130100000',0
b'20070130110000',0
b'20070130120000',0
b'20070130130000',0
b'20070130140000',0
b'20070130150000',0
b'20070130160000',0
b'20070130170000',0
b'20070130180000',0
b'20070130190000',0
b'20070130200000',0
b'20070130210000',0
b'20070130220000',0
b'20070130230000',0
b'20070131000000',0
b'20070131010000',0
b'20070131020000',0
b'20070131030000',0
b'20070131040000',0
b'20070131050000',0
b'20070131060000',0
b'20070131070000',0
b'20070131080000',0
b'20070131090000',0
b'20070131100000',0
b'20070131110000',0
b'20070131120000',0
b'20070131130000',0
b'20070131140000',0
b'20070131150000',0
b'20070131160000',0
b'20070131170000',0
b'20070131180000',0
b'20070131190000',0
b'20070131200000',0
b'20070131210000',0
b'20070131220000',0
b'20070131230000',0
b'20070201000000',0
b'20070201010000',0
b'20070201020000',0
b'20070201030000',0
b'20070201040000',0
b'20070201050000',0
b'20070201060000',0
b'20070201070000',0
b'20070201080000',0
b'20070201090000',0
b'20070201100000',0
b'20070201110000',0
b'20070201120000',0
b'20070201130000',0
b'20070201140000',0
b'20070201150000',0
b'20070201160000',0
b'20070201170000',0
b'20070201180000',0
b'20070201190000',0
b'20070201200000',0
b'20070201210000',0
b'20070201220000',0
b'20070201230000',0
b'20070202000000',0
b'20070202010000',0
b'20070202020000',0
b'20070202030000',0
b'20070202040000',0
b'20070202050000',0
b'20070202060000',0
b'20070202070000',0
b'20070202080000',0
b'20070202090000',0
b'20070202100000',0
b'20070202110000',0
b'20070202120000',0
b'20070202130000',0
b'20070202140000',0
b'20070202150000',0
b'20070202160000',0
b'20070202170000',0
b'20070202180000',0
b'20070202190000',0
b'20070202200000',0
b'20070202210000',0
b'20070202220000',0
b'20070202230000',0
b'20070203000000',0
b'20070203010000',0
b'20070203020000',0
b'20070203030000',0
b'20070203040000',0
b'20070203050000',0
b'20070203060000',0
b'20070203070000',0
b'20070203080000',0
b'20070203090000',0
b'20070203100000',0
b'20070203110000',0
b'20070203120000',0
b'20070203130000',0
b'20070203140000',0
b'20070203150000',0
b'20070203160000',0
b'20070203170000',0
b'20070203180000',0
b'20070203190000',0
b'20070203200000',0
b'20070203210000',0
b'20070203220000',0
b'20070203230000',0
b'20070204000000',0
b'20070204010000',0
b'20070204020000',0
b'20070204030000',0
b'20070204040000',0
b'20070204050000',0
b'20070204060000',0
b'20070204070000',0
b'20070204080000',0
b'20070204090000',0
b'20070204100000',0
b'20070204110000',0
b'20070204120000',0
b'20070204130000',0
b'20070204140000',0
b'20070204150000',0
b'20070204160000',0
b'20070204170000',0
b'20070204180000',0
b'20070204190000',0
b'20070204200000',0
b'20070204210000',0
b'20070204220000',0
b'20070204230000',0
b'20070205000000',0
b'20070205010000',0
b'20070205020000',0
b'20070205030000',0
b'20070205040000',0
b'20070205050000',0
b'20070205060000',0
b'20070205070000',0
b'20070205080000',0
b'20070205090000',0
b'20070205100000',0
b'20070205110000',0
b'20070205120000',0
b'20070205130000',0
b'20070205140000',0
b'20070205150000',0
b'20070205160000',0
b'20070205170000',0
b'20070205180000',0
b'20070205190000',0
b'20070205200000',0
b'20070205210000',0
b'20070205220000',0
b'20070205230000',0
b'20070206000000',0
b'20070206010000',0
b'20070206020000',0
b'20070206030000',0
b'20070206040000',0
b'20070206050000',0
b'20070206060000',0
b'20070206070000',0
b'20070206080000',0
b'20070206090000',0
b'20070206100000',0
b'20070206110000',0
b'20070206120000',0
b'20070206130000',0
b'20070206140000',0
b'20070206150000',0
b'20070206160000',0
b'20070206170000',0
b'20070206180000',0
b'20070206190000',0
b'20070206200000',0
b'20070206210000',0
b'20070206220000',0
b'20070206230000',0
b'20070207000000',0
b'20070207010000',0
b'20070207020000',0
b'20070207030000',0
b'20070207040000',0
b'20070207050000',0
b'20070207060000',0
b'20070207070000',0
b'20070207080000',0
b'20070207090000',0
b'20070207100000',0
b'20070207110000',0
b'20070207120000',0
b'20070207130000',0
b'20070207140000',0
b'20070207150000',0
b'20070207160000',0
b'20070207170000',0
b'20070207180000',0
b'20070207190000',0
b'20070207200000',0
b'20070207210000',0
b'20070207220000',0
b'20070207230000',0
b'20070208000000',0
b'20070208010000',0
b'20070208020000',0
b'20070208030000',0
b'20070208040000',0
b'20070208050000',0
b'20070208060000',0
b'20070208070000',0
b'20070208080000',0
b'20070208090000',0
b'20070208100000',0
b'20070208110000',0
b'20070208120000',0
b'20070208130000',0
b'20070208140000',0
b'20070208150000',0
b'20070208160000',0
b'20070208170000',0
b'20070208180000',0
b'20070208190000',0
b'20070208200000',0
b'20070208210000',0
b'20070208220000',0
b'20070208230000',0
b'20070209000000',0
b'20070209010000',0
b'20070209020000',0
b'20070209030000',0
b'20070209040000',0
b'20070209050000',0
b'20070209060000',0
b'20070209070000',0
b'20070209080000',0
b'20070209090000',0
b'20070209100000',0
b'20070209110000',0
b'20070209120000',0
b'20070209130000',0
b'20070209140000',0
b'20070209150000',0
b'20070209160000',0
b'20070209170000',0
b'20070209180000',0
b'20070209190000',0
b'20070209200000',0
b'20070209210000',0
b'20070209220000',0
b'20070209230000',0
b'20070210000000',0
b'20070210010000',0
b'20070210020000',0
b'20070210030000',0
b'20070210040000',0
b'20070210050000',0
b'20070210060000',0
b'20070210070000',0
b'20070210080000',0
b'20070210090000',0
b'20070210100000',0
b'20070210110000',0
b'20070210120000',0
b'20070210130000',0
b'20070210140000',0
b'20070210150000',0
b'20070210160000',0
b'20070210170000',0
b'20070210180000',0
b'20070210190000',0
b'20070210200000',0
b'20070210210000',0
b'20070210220000',0
b'20070210230000',0
b'20070211000000',0
b'20070211010000',0
b'20070211020000',0
b'20070211030000',0
b'20070211040000',0
b'20070211050000',0
b'20070211060000',0
b'20070211070000',0
b'20070211080000',0
b'20070211090000',0
b'20070211100000',0
b'20070211110000',0
b'20070211120000',0
b'20070211130000',0
b'20070211140000',0
b'20070211150000',0
b'20070211160000',0
b'20070211170000',0
b'20070211180000',0
b'20070211190000',0
b'20070211200000',0
b'20070211210000',0
b'20070211220000',0
b'20070211230000',0
b'20070212000000',0
b'20070212010000',0
b'20070212020000',0
b'20070212030000',0
b'20070212040000',0
b'20070212050000',0
b'20070212060000',0
b'20070212070000',0
b'20070212080000',0
b'20070212090000',0
b'20070212100000',0
b'20070212110000',0
b'20070212120000',0
b'20070212130000',0
b'20070212140000',0
b'20070212150000',0
b'20070212160000',0
b'20070212170000',0
b'20070212180000',0
b'20070212190000',0
b'20070212200000',0
b'20070212210000',0
b'20070212220000',0
b'20070212230000',0
b'20070213000000',0
b'20070213010000',0
b'20070213020000',0
b'20070213030000',0
b'20070213040000',0
b'20070213050000',0
b'20070213060000',0
b'20070213070000',0
b'20070213080000',0
b'20070213090000',0
b'20070213100000',0
b'20070213110000',0
b'20070213120000',0
b'20070213130000',0
b'20070213140000',0
b'20070213150000',0
b'20070213160000',0
b'20070213170000',0
b'20070213180000',0
b'20070213190000',0
b'20070213200000',0
b'20070213210000',0
b'20070213220000',0
b'20070213230000',0
b'20070214000000',0
b'20070214010000',0
b'20070214020000',0
b'20070214030000',0
b'20070214040000',0
b'20070214050000',0
b'20070214060000',0
b'20070214070000',0
b'20070214080000',0
b'20070214090000',0
b'20070214100000',0
b'20070214110000',0
b'20070214120000',0
b'20070214130000',0
b'20070214140000',0
b'20070214150000',0
b'20070214160000',0
b'20070214170000',0
b'20070214180000',0
b'20070214190000',0
b'20070214200000',0
b'20070214210000',0
b'20070214220000',0
b'20070214230000',0
b'20070215000000',0
b'20070215010000',0
b'20070215020000',0
b'20070215030000',0
b'20070215040000',0
b'20070215050000',0
b'20070215060000',0
b'20070215070000',0
b'20070215080000',0
b'20070215090000',0
b'20070215100000',0
b'20070215110000',0
b'20070215120000',0
b'20070215130000',0
b'20070215140000',0
b'20070215150000',0
b'20070215160000',0
b'20070215170000',0
b'20070215180000',0
b'20070215190000',0
b'20070215200000',0
b'20070215210000',0
b'20070215220000',0
b'20070215230000',0
b'20070216000000',0
b'20070216010000',0
b'20070216020000',0
b'20070216030000',0
b'20070216040000',0
b'20070216050000',0
b'20070216060000',0
b'20070216070000',0
b'20070216080000',0
b'20070216090000',0
b'20070216100000',0
b'20070216110000',0
b'20070216120000',0
b'20070216130000',0
b'20070216140000',0
b'20070216150000',0
b'20070216160000',0
b'20070216170000',0
b'20070216180000',0
