,0
261,0.7728847511316896
262,0.7728847511316896
263,0.7728847511316896
264,0.85
265,0.85
266,0.85
267,0.85
268,0.85
269,0.85
270,0.85
271,0.85
272,0.85
273,0.85
274,0.85
275,0.85
276,0.85
277,0.85
278,0.85
279,0.85
280,0.85
281,0.85
282,0.85
283,0.85
284,0.85
285,0.85
286,0.85
287,0.85
288,0.85
289,0.85
290,0.85
291,0.85
292,0.85
293,0.85
294,0.85
295,0.85
296,0.85
297,0.85
298,0.85
299,0.85
300,0.85
301,0.85
302,0.85
303,0.85
304,0.85
305,0.85
306,0.85
307,0.85
308,0.85
309,0.85
310,0.85
311,0.85
312,0.85
313,0.85
314,0.85
315,0.85
316,0.85
317,0.85
318,0.85
319,0.85
320,0.85
321,0.85
322,0.85
323,0.85
324,0.85
325,0.85
326,0.85
327,0.85
328,0.85
329,0.85
330,0.85
331,0.85
332,0.85
333,0.85
334,0.85
335,0.85
336,0.85
337,0.85
338,0.85
339,0.85
340,0.85
341,0.85
342,0.85
343,0.85
344,0.85
345,0.85
346,0.85
347,0.85
348,0.85
349,0.85
350,0.85
351,0.85
352,0.85
353,0.85
354,0.85
355,0.85
356,0.85
357,0.85
358,0.85
359,0.85
360,0.85
361,0.85
362,0.85
363,0.85
364,0.85
365,0.85
366,0.85
367,0.85
368,0.85
369,0.85
370,0.85
371,0.85
372,0.85
373,0.85
374,0.85
375,0.85
376,0.85
377,0.85
378,0.85
379,0.85
380,0.85
381,0.85
382,0.85
383,0.85
384,0.85
385,0.85
386,0.85
387,0.85
388,0.85
389,0.85
390,0.85
391,0.85
392,0.85
393,0.85
394,0.85
395,0.85
396,0.85
397,0.85
398,0.85
399,0.85
400,0.85
401,0.85
402,0.85
403,0.85
404,0.85
405,0.85
406,0.85
407,0.85
408,0.8120154262374535
409,0.8120154262374535
410,0.8120154262374535
411,0.8120154262374535
412,0.8120154262374535
413,0.8120154262374535
414,0.8120154262374535
415,0.8120154262374535
416,0.8120154262374535
417,0.8120154262374535
418,0.8120154262374535
419,0.8120154262374535
420,0.8120154262374535
421,0.8120154262374535
422,0.8120154262374535
423,0.8120154262374535
424,0.8120154262374535
425,0.8120154262374535
426,0.8120154262374535
427,0.8120154262374535
428,0.8120154262374535
429,0.8120154262374535
430,0.8120154262374535
431,0.8120154262374535
432,0.85
433,0.85
434,0.85
435,0.85
436,0.85
437,0.85
438,0.85
439,0.85
440,0.85
441,0.85
442,0.85
443,0.85
444,0.85
445,0.85
446,0.85
447,0.85
448,0.85
449,0.85
450,0.85
451,0.85
452,0.85
453,0.85
454,0.85
455,0.85
456,0.85
457,0.85
458,0.85
459,0.85
460,0.85
461,0.85
462,0.85
463,0.85
464,0.85
465,0.85
466,0.85
467,0.85
468,0.85
469,0.85
470,0.85
471,0.85
472,0.85
473,0.85
474,0.85
475,0.85
476,0.85
477,0.85
478,0.85
479,0.85
480,0.8101559652208303
481,0.8101559652208303
482,0.8101559652208303
483,0.8101559652208303
484,0.8101559652208303
485,0.8101559652208303
486,0.8101559652208303
487,0.8101559652208303
488,0.8101559652208303
489,0.8101559652208303
490,0.8101559652208303
491,0.8101559652208303
492,0.8101559652208303
493,0.8101559652208303
494,0.8101559652208303
495,0.8101559652208303
496,0.8101559652208303
497,0.8101559652208303
498,0.8101559652208303
499,0.8101559652208303
500,0.8101559652208303
501,0.8101559652208303
502,0.8101559652208303
503,0.8101559652208303
504,0.7345794052276687
505,0.7345794052276687
506,0.7345794052276687
507,0.7345794052276687
508,0.7345794052276687
509,0.7345794052276687
510,0.7345794052276687
511,0.7345794052276687
512,0.7345794052276687
513,0.7345794052276687
514,0.7345794052276687
515,0.7345794052276687
516,0.7345794052276687
517,0.7345794052276687
518,0.7345794052276687
519,0.7345794052276687
520,0.7345794052276687
521,0.7345794052276687
522,0.7345794052276687
523,0.7345794052276687
524,0.7345794052276687
525,0.7345794052276687
526,0.7345794052276687
527,0.7345794052276687
528,0.6792343481300331
529,0.6792343481300331
530,0.6792343481300331
531,0.6792343481300331
532,0.6792343481300331
533,0.6792343481300331
534,0.6792343481300331
535,0.6792343481300331
536,0.6792343481300331
537,0.6792343481300331
538,0.6792343481300331
539,0.6792343481300331
540,0.6792343481300331
541,0.6792343481300331
542,0.6792343481300331
543,0.6792343481300331
544,0.6792343481300331
545,0.6792343481300331
546,0.6792343481300331
547,0.6792343481300331
548,0.6792343481300331
549,0.6792343481300331
550,0.6792343481300331
551,0.6792343481300331
552,0.668592624379875
553,0.668592624379875
554,0.668592624379875
555,0.668592624379875
556,0.668592624379875
557,0.668592624379875
558,0.668592624379875
559,0.668592624379875
560,0.668592624379875
561,0.668592624379875
562,0.668592624379875
563,0.668592624379875
564,0.668592624379875
565,0.668592624379875
566,0.668592624379875
567,0.668592624379875
568,0.668592624379875
569,0.668592624379875
570,0.668592624379875
571,0.668592624379875
572,0.668592624379875
573,0.668592624379875
574,0.668592624379875
575,0.668592624379875
576,0.85
577,0.85
578,0.85
579,0.85
580,0.85
581,0.85
582,0.85
583,0.85
584,0.85
585,0.85
586,0.85
587,0.85
588,0.85
589,0.85
590,0.85
591,0.85
592,0.85
593,0.85
594,0.85
595,0.85
596,0.85
597,0.85
598,0.85
599,0.85
600,0.85
601,0.85
602,0.85
603,0.85
604,0.85
605,0.85
606,0.85
607,0.85
608,0.85
609,0.85
610,0.85
611,0.85
612,0.85
613,0.85
614,0.85
615,0.85
616,0.85
617,0.85
618,0.85
619,0.85
620,0.85
621,0.85
622,0.85
623,0.85
624,0.85
625,0.85
626,0.85
627,0.85
628,0.85
629,0.85
630,0.85
631,0.85
632,0.85
633,0.85
634,0.85
635,0.85
636,0.85
637,0.85
638,0.85
639,0.85
640,0.85
641,0.85
642,0.85
643,0.85
644,0.85
645,0.85
646,0.85
647,0.85
648,0.85
649,0.85
650,0.85
651,0.85
652,0.85
653,0.85
654,0.85
655,0.85
656,0.85
657,0.85
658,0.85
659,0.85
660,0.85
661,0.85
662,0.85
663,0.85
664,0.85
665,0.85
666,0.85
667,0.85
668,0.85
669,0.85
670,0.85
671,0.85
672,0.85
673,0.85
674,0.85
675,0.85
676,0.85
677,0.85
678,0.85
679,0.85
680,0.85
681,0.85
682,0.85
683,0.85
684,0.85
685,0.85
686,0.85
687,0.85
688,0.85
689,0.85
690,0.85
691,0.85
692,0.85
693,0.85
694,0.85
695,0.85
696,0.85
697,0.85
698,0.85
699,0.85
700,0.85
701,0.85
702,0.85
703,0.85
704,0.85
705,0.85
706,0.85
707,0.85
708,0.85
709,0.85
710,0.85
711,0.85
712,0.85
713,0.85
714,0.85
715,0.85
716,0.85
717,0.85
718,0.85
719,0.85
720,0.7674101885710322
721,0.7674101885710322
722,0.7674101885710322
723,0.7674101885710322
724,0.7674101885710322
725,0.7674101885710322
726,0.7674101885710322
727,0.7674101885710322
728,0.7674101885710322
729,0.7674101885710322
730,0.7674101885710322
731,0.7674101885710322
732,0.7674101885710322
733,0.7674101885710322
734,0.7674101885710322
735,0.7674101885710322
736,0.7674101885710322
737,0.7674101885710322
738,0.7674101885710322
739,0.7674101885710322
740,0.7674101885710322
741,0.7674101885710322
742,0.7674101885710322
743,0.7674101885710322
744,0.6960230896878506
745,0.6960230896878506
746,0.6960230896878506
747,0.6960230896878506
748,0.6960230896878506
749,0.6960230896878506
750,0.6960230896878506
751,0.6960230896878506
752,0.6960230896878506
753,0.6960230896878506
754,0.6960230896878506
755,0.6960230896878506
756,0.6960230896878506
757,0.6960230896878506
758,0.6960230896878506
759,0.6960230896878506
760,0.6960230896878506
761,0.6960230896878506
762,0.6960230896878506
763,0.6960230896878506
764,0.6960230896878506
765,0.6960230896878506
766,0.6960230896878506
767,0.6960230896878506
768,0.6348824976957597
769,0.6348824976957597
770,0.6348824976957597
771,0.6348824976957597
772,0.6348824976957597
773,0.6348824976957597
774,0.6348824976957597
775,0.6348824976957597
776,0.6348824976957597
777,0.6348824976957597
778,0.6348824976957597
779,0.6348824976957597
780,0.6348824976957597
